Genus,species
Acer,platanoides
Acer,pseudoplatanus
Aegopodium,podagraria
Ageratina,adenophora
Ailanthus,altissima
Alliaria,petiolata
Alternanthera,sessilis
Ampelopsis,brevipedunculata
Anthriscus,sylvestris
Arthraxon,hispidus
Asphodelus,fistulosus
Avena,sterilis
Azolla,pinnata
Berberis,thunbergii
Berberis,vulgaris
Butomus,umbellatus
Cabomba,caroliniana
Cardamine,impatiens
Carex,kobomugi
Carthamus,oxyacanthus
Carthamus,oxycantha
Caulerpa,taxifolia
Celastrus,orbiculatus
Centaurea,biebersteinii
Centaurea,stoebe
Chrysopogon,aciculatus
Commelina,benghalensis
Crupina,vulgaris
Cynanchum,louiseae
Cynanchum,rossicum
Digitaria,abyssinica
Digitaria,scalarum
Digitaria,velutina
Drymaria,arenarioides
Egeria,densa
Elodea,densa
Anacharis,densa
Eichhornia,azurea
Elaeagnus,umbellata
Emex,australis
Emex,spinosa
Epilobium,hirsutum
Euonymus,alatus
Euphorbia,cyparissias
Euphorbia,esula
Festuca,filiformis
Frangula,alnus
Rhamnus,frangula
Galega,officinalis
Glaucium,flavum
Glyceria,maxima
Heracleum,mantegazzianum
Hesperis,matronalis
Humulus,japonicus
Hydrilla,verticillata
Hygrophila,polysperma
Imperata,brasiliensis
Ipomoea,aquatica
Iris,pseudacorus
Ischaemum,rugosum
Lagarosiphon,major
Lepidium,latifolium
Leptochloa,chinensis
Ligustrum,obtusifolium
Limnophila,sessiliflora
Lonicera,japonica
Lonicera,maackii
Lonicera,morrowii
Lonicera,tatarica
Lonicera,× bella
Lycium,ferrocissimum
Lysimachia,nummularia
Lythrum,salicaria
Melaleuca,quinquenervia
Melastoma,malabathricum
Microstegium,vimineum
Mikania,cordata
Mikania,micrantha
Mimosa,diplotricha
Mimosa,invisa
Mimosa,pigra
Miscanthus,sacchariflorus
Miscanthus,× giganteus
Monochoria,hastata
Monochoria,vaginalis
Myosotis,scorpioides
Myriophyllum,aquaticum
Myriophyllum,heterophyllum
Myriophyllum,spicatum
Najas,minor
Nassella,trichotoma
Nymphoides,peltata
Opuntia,aurantiaca
Oryza,longistaminata
Oryza,punctata
Oryza,rufipogon
Ottelia,alismoides
Paspalum,scrobiculatum
Pennisetum,clandestinum
Pennisetum,macrourum
Pennisetum,pedicellatum
Pennisetum,polystachyon
Pennisetum,polystachion
Phalaris,arundinacea
Phellodendron,amurense
Phragmites,australis
Polygonum,cuspidatum
Fallopia,japonica
Polygonum,perfoliatum
Potamogeton,crispus
Prosopis,pallida
Prosopis,reptans
Prosopis,strombulifera
Prosopis,velutina
Pueraria,montana
Ranunculus,ficaria
Ranunculus,repens
Rhamnus,cathartica
Robinia,pseudoacacia
Rorippa,amphibia
Rosa,multiflora
Rottboellia,cochinchinensis
Rubus,fruticosus
Rubus,moluccanus
Rubus,phoenicolasius
Saccharum,spontaneum
Sagittaria,sagittifolia
Salix,atrocinerea
Salix,cinerea
Salix,cinerea
Salsola,vermiculata
Salvinia,auriculata
Salvinia,biloba
Salvinia,herzogii
Salvinia,molesta
Senecio,jacobaea
Setaria,pallidifusca
Setaria,pallidefusca
Setaria,pumila
Solanum,tampicense
Solanum,torvum
Solanum,viarum
Sparganium,erectum
Spermacoce,alata
Trapa,natans
Tridax,procumbens
Tussilago,farfara
Urochloa,panicoides
